ALVARÁ SANITÁRIO INICIAL - GRUPO DE PRODUTOS - DROGARIAS,GRATIFICAÇÃO DE DESEMPENHO DE FUNÇÃO DE CONFIANÇA DE VICE-DIRETOR DE ESCOLA -LEC 90/2011,TRANSPOSIÇÃO DE PLANO DE CARGOS- CARREIRA E VENCIMENTO,LICENÇA PARA ATIVIDADES POLITICAS,CADASTRO DE EMPRESA - ATUALIZAÇÃO,SALÁRIO FAMÍLIA,AVERBAÇÃO DE NOME DE PROPRIETÁRIO DE IMÓVEIS,SOLICITAÇÃO DE FISCALIZAÇÃO DE POSTURAS (DENÚNCIA),OFICIALIZAÇAO DE VIAS,INVASÕES DE ÁREA VERDE,DEMANDAS DE JARDINAGEM ,SEPULTAMENTO PARTICULAR,SOLICITAÇÃO DE FISCALIZAÇÃO DE OBRAS (DENÚNCIA),ALVARÁ DE LOCALIZAÇÃO E FUNCIONAMENTO - ALTERAÇÃO DE ÁREA
ALVARÁ SANITÁRIO INICIAL - GRUPO DE PRODUTOS - FARMÁCIAS,GRATIFICAÇÃO DE ESTÍMULO À FUNÇÃO ESPECIAL - LEC 202/2016,SITUAÇÃO FUNCIONAL,LICENÇA PARA DESEMPENHO MANDATO CLASSISTA,ALTERAÇÃO DE SÓCIOS,AUXILIO ALIMENTAÇÃO,CANCELAMENTO DE ÍNDICE CADASTRAL,DESINTERDIÇÃO DE FUNCIONAMENTO - ATIVIDADES URBANAS,PRORROGAÇÃO DE PRAZO DE EXECUÇÃO DE OBRAS DE INFRAESTRUTURA BÁSICA,DOAÇÃO DE BENS MÓVEIS,CARREGADOR (CARGA E DESCARGA),MANUTENÇÃO DE JAZIGO PERPÉTUO,ALVARÁ DE CONSTRUÇÃO,ALVARÁ DE LOCALIZAÇÃO E FUNCIONAMENTO - ALTERAÇÃO DE ATIVIDADE
ALVARÁ SANITÁRIO INICIAL - GRUPO ESTABELECIMENTOS DE SAÚDE,GRATIFICAÇÃO DE ESTÍMULO À PRODUÇÃO - GEP - LEI 3627/2002,OPÇÃO PLANO DE CARREIRA DOS SERVIDORES DA SECRETARIA MUNICIPAL DE FAZENDA LEC 249-2018,LICENÇA PARA SERVIÇO MILITAR,BAIXA DE INSCRIÇÃO DE EMPRESA,AUXILIO TRANSPORTE - INCLUSÃO,CERTIDÃO DE 1° LANÇAMENTO PREDIAL,SOLICITAÇÃO DE FISCALIZAÇÃO DE ANÚNCIOS (DENÚNCIA),DESMEMBRAMENTO ,BAIXA PATRIMONIAL DE BENS MÓVEIS,CAPINA ,VELÓRIO ALUGUEL,ALVARÁ DE CONSTRUÇÃO- RENOVAÇÃO,ALVARÁ DE LOCALIZAÇÃO E FUNCIONAMENTO - ALTERAÇÃO DE ENDEREÇO
ALVARÁ SANITÁRIO INICIAL - GRUPO PRODUTOS - CONSERVADORAS E DEDETIZADORAS,GRATIFICAÇÃO DE INSTRUÇÃO E MONITORIA - LEC 73/2009,CERTIDÃO DE ASSENTOS FUNCIONAIS,LICENÇA PARA TRATAR DE INTERESSES PESSOAIS ,CADASTRO DE AUTÔNOMO - PROFISSIONAIS LIBERAIS,FÉRIAS REGULAMENTARES,CERTIDÃO DE 1º LANÇAMENTO TERRITORIAL,AUTORIZAÇÃO PARA FUNCIONAMENTO NOTURNO,RETIFICAÇÃO DE ÁREA,ACORDO DE COOPERAÇÃO TÉCNICA,REPAROS DE LINHA TELEFÔNICA,AUTORIZAÇÃO PARA REMOÇÃO DE CORPOS PARA FORA DO MUNICÍPIO ,LICENÇA PARA REFORMA / REPAROS,ALVARÁ DE LOCALIZAÇÃO E FUNCIONAMENTO - ALTERAÇÃO DE RAZÃO SOCIAL
ALVARÁ SANITÁRIO INICIAL - GRUPO PRODUTOS - INDÚSTRIAS,GRATIFICAÇÃO DE INCENTIVO À PRODUTIVIDADE - GIP - LEC 119/2011,PROGRESSÃO VERTICAL,LICENÇA POR MOTIVO DE AFASTAMENTO DO  CONJUGUE,ATUALIZAÇÃO  DE CADASTRO DE AUTÔNOMO SEM ESTABELECIMENTO,FLEXIBILIZAÇÃO DA JORNADA - DECRETO 1.788,CERTIDÃO DE INFORMAÇÕES CADASTRAIS,NOTIFICAÇÃO DE LOTE VAGO,DESCARACTERIZAÇÃO DE IMÓVEL RURAL PARA URBANO ,NOTIFICAÇÃO CONFORME DECRETO 1628/2011,LIMPEZA DE CALHAS /REPAROS DE TELHADOS,BENEFÍCÍO AUXÍLIO FUNERAL – PARCIAL,DESINTERDIÇÃO DE OBRA EMBARGADA,LICENÇA PARA REALIZAÇÃO DE EVENTO EM ÁREA PÚBLICA
ALVARÁ SANITÁRIO INICIAL - GRUPO PRODUTOS - TRANSPORTADORAS,GRATIFICAÇÃO DE FUNÇÃO COMISSIONADA ( LEC 90  104  105),ENQUADRAMENTO SALARIAL - LC 104/2011,PENSÃO  - ATUALIZAÇÃO DE VALORES,BAIXA DE INSCRIÇÃO DE AUTÔNOMO SEM ESTABELECIMENTO,ADICIONAL DE PERICULOSIDADE,ATUALIZAÇÃO DE DADOS CADASTRAIS POR DESAPROPRIAÇÃO,PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE EXIGÊNCIAS TÉCNICAS/LEGAIS - ATIVIDADES URBANAS,REGULARIZAÇÃO FUNDIÁRIA,ENTIDADE FECHADA DE PREVIDÊNCIA COMPLEMENTAR - SELEÇÃO,SERVIÇOS DE PINTURA ,AUTORIZAÇÃO PARA REMOÇÃO DE CORPOS PARA DENTRO DO MUNICÍPIO,VISTAS E REPROGRAFIA DE AUTOS PROCESSUAIS - FISCALIZAÇÃO DE OBRAS,
ALVARÁ SANITÁRIO RENOVAÇÃO - BAIXA COMPLEXIDADE - ACADEMIA DE GINÁSTICA E/OU NATAÇÃO,GRATIFICAÇÃO DE PRODUTIVIDADE - LEI 2160/1990,PROGRESSÃO FUNCIONAL POR MÉRITO - SMS - LC - 104/2011,TERMO ADITIVO,BAIXA DE INSCRIÇÃO DE AUTÔNOMOS COM ESTABELECIMENTO,CERTIDÃO FUNCIONAL,ATUALIZAÇÃO DE DADOS CADASTRAIS POR DESMEMBRAMENTO / REMEMBRAMENTO,AUTO DE INFRAÇÃO - ATIVIDADES URBANAS,REGULARIZAÇÃO FUNDIÁRIA,DEFESA DE AUTOS DE INFRAÇÃO - SEAD,REGISTRO DE OCORRÊNCIAS COM OS COLABORADORES DA MGS,,,
ALVARÁ SANITÁRIO RENOVAÇÃO - BAIXA COMPLEXIDADE - ÓTICAS,GRATIFICAÇÃO MONITORADA - EDUCAÇÃO - LEC 90/2011,PROGRESSÃO POR TITULAÇÃO OU QUALIFICAÇÃO - LC 104/2011 (SMS),TRANSFERÊNCIA DE UNIDADE ADMINISTRATIVA,CERTIDÃO CADASTRAL,PRORROGAÇÃO LICENÇA ADOTANTE,ENGLOBAMENTO/DESENGLOBAMENTO DE ÍNDICES CADASTRAIS,TERMO DE FISCALIZAÇÃO - ATIVIDADES URBANAS,CONDOMÍNIO DE LOTES,TERMO DE ADESÃO ,,,,
ALVARÁ SANITÁRIO RENOVAÇÃO - GR ALIM. - COZ. INDUST.-INDÚSTRIAS ALIM.-BUFFETS- EMPACOTADORA/BENEFIC.DE ALIMENTOS-UNIDADES DE ALIMENTOS E NUTRIÇÃO. ,GRATIFICAÇÃO MONITORADA - ELEC 105/2011,ENQUADRAMENTO - LEC 105/2011,EXONERAÇÃO,REVISÃO DE LANÇAMENTO DE TRIBUTOS MOBILIÁRIOS,LICENÇA PATERNIDADE,LANÇAMENTO PREDIAL,DEFESA DE NOTIFICAÇÃO DE LOTE VAGO,REGULARIZAÇÃO DE GLEBA,,,,,
ALVARÁ SANITÁRIO RENOVAÇÃO - GRUPO DE PRODUTOS - DISTRIBUIDORAS- IMPORTADORAS E EXPORTADORAS,GRATIFICAÇÃO POR ATIVIDADE JURÍDICA - GAJ- LEC 100/2011,ENQUADRAMENTO LEI COMPLEMENTAR 257-2018,FALTAS FUNCIONAIS,CANCELAMENTO DE TRIBUTOS MOBILIÁRIOS,AUXILIO RECLUSÃO,LANÇAMENTO TERRITORIAL,SELEÇÃO DE FEIRANTES - FEIRA DO ELDORADO,MODIFICAÇÃO DE PARCELAMENTO DO SOLO,,,,,
ALVARÁ SANITÁRIO RENOVAÇÃO - GRUPO DE PRODUTOS - DROGARIAS,HORA EXTRA - DECRETO 169/2005,PROGRESSÃO HORIZONTAL L.C. 21/2006,PERFIL PROFISSIOGRÁFICO PREVIDENCIÁRIO - PPP,APOSIÇÃO DE CARIMBO EM NOTAS FISCAIS,AUXILIO TRANSPORTE DE EXTENSÃO DE JORNADA - SMS,CADASTRAMENTO DE EDIFICAÇÕES – LC Nº 177/2014,VISTAS E REPROGRAFIA DE AUTOS PROCESSUAIS - FISCALIZAÇÃO DE POSTURAS,,,,,,
ALVARÁ SANITÁRIO RENOVAÇÃO - GRUPO DE PRODUTOS - FARMÁCIAS,IMPOSTO DE RENDA,PROGRESSÃO POR TITULAÇÃO OU QUALIFICAÇÃO - LEI COMPLEMENTAR 257/2018 (CGM),VACANCIA,CREDENCIAMENTO DE ESTABELECIMENTO GRÁFICO,AFASTAMENTO PARA ESTUDO NO EXTERIOR - LEI 2160,CADASTRAMENTO DE IMÓVEIS – PROPRIEDADE POR FRAÇÃO,AUTO DE INTERDIÇÃO DE FUNCIONAMENTO - ATIVIDADES URBANAS,,,,,,
ALVARÁ SANITÁRIO RENOVAÇÃO - GRUPO ESTABELECIMENTOS DE SAÚDE,PENSÃO ALIMENTÍCIA ,REQUERIMENTO DE INFORMAÇÕES BÁSICAS - RIBI ,CONTAGEM DE TEMPO PARA SIMPLES VERIFICAÇÃO,RENOVAÇÃO DE CREDENCIAMENTO DE ESTABELECIMENTO GRÁFICO,DECLARAÇÃO DE TETO MÁXIMO ,ATUALIZAÇÃO CADASTRAL COM BASE NO PROCESSO 18193/2016,AUTO DE EMBARGO DE FUNCIONAMENTO - ATIVIDADES URBANAS,,,,,,
ALVARÁ SANITÁRIO RENOVAÇÃO - GRUPO PRODUTOS - CONSERVADORAS E DEDETIZADORAS,VENCIMENTO,PROGRESSÃO POR TITULAÇÃO OU QUALIFICAÇÃO - LEI COMPLEMENTAR 249/2018 (SEFAZ),LICENÇA PARA QUALIFICAÇÃO PROFISSIONAL (MESTRADO OU DOUTORADO),CANCELAMENTO DE AIDF´S,AUXILIO TRANSPORTE - ALTERAÇÃO,REGULARIZAÇÃO CADASTRAL E TRIBUTÁRIA - LEI 5.384/2023,DEFESA DE INTERDIÇÃO DE FUNCIONAMENTO - ATIVIDADES URBANAS,,,,,,
ALVARÁ SANITÁRIO RENOVAÇÃO - GRUPO PRODUTOS - INDUSTRIAS,GRATIFICAÇÃO DE DEDICAÇÃO EXCLUSIVA DO MAGISTÉRIO - GDEM ,PROGRESSÃO FUNCIONAL POR MÉRITO LEI COMPLEMENTAR 249/2018 (SEFAZ),PRORROGAÇÃO DE LICENÇA POR MOTIVO DE DOENÇA EM PESSOA DA FAMÍLIA,CANCELAMENTO DA NOTA FISCAL DE SERVIÇOS AVULSA,AUXILIO TRANSPORTE - RESTITUIÇÃO,REMISSÃO DE IPTU - ARTIGO 10 - LEI 5.384/2023,,,,,,,
ALVARÁ SANITÁRIO RENOVAÇÃO - GRUPO PRODUTOS - TRANSPORTADORAS,CONTRIBUIÇÃO SINDICAL,PROGRESSÃO FUNCIONAL POR MÉRITO  - LEI COMPLEMENTAR 257 / 2018 (CGM),ESTABILIDADE PROVISÓRIA  GESTANTE COMISSIONADA ,REGIME ESPECIAL PARA ESCRITURAÇÃO E IMPRESSÃO DE LIVROS FISCAIS,AUXILIO TRANSPORTE - EXCLUSÃO,,,,,,,,
ANÁLISE DE PROJETO ARQUITETÔNICO - SANITÁRIO,RAIS – RELAÇÃO ANUAL DE INFORMAÇÕES SOCIAIS,PROMOÇÃO - LEI COMPLEMENTAR 105/2011 ,ESTABILIDADE PROVISÓRIA  GESTANTE CONTRATADA,REGIME ESPECIAL PARA DISPENSA DA OBRIGAÇÃO ACESSÓRIA,FÉRIAS PRÊMIO - REVISÃO,,,,,,,,
BAIXA DE RESPONSABILIDADE TÉCNICA - SANITÁRIO,DÉBITO - PAGAMENTO INDEVIDO,ENQUADRAMENTO - LEC 316/2022,CESSÃO / DISPONIBILIDADE,SOLICITAÇÃO DE CÓPIA DE PROCESSO ADMINISTRATIVO - MOBILIÁRIO,JORNADA DE TRABALHO,,,,,,,,
CERTIDÕES E DECLARAÇÕES - VIGILÂNCIA SANITÁRIA,GRATIFICAÇÃO DE URGÊNCIA - LEC 41/2007,ENQUADRAMENTO LEC. 296/2020,REVISÃO DO PERFIL PROFISSIOGRÁFICO PREVIDENCIÁRIO - PPP,,,,,,,,,,
CERTIFICADO DE VISTORIA DE VEÍCULOS - AUTÔNOMOS,SALÁRIO MATERNIDADE,PROGRESSÃO HORIZONTAL  - LEI 3367/2000,CONTAGEM DE TEMPO - RESOLUÇÃO 2181/91,,,,,,,,,,
DEFESA / RECURSO (TERMO DE INTIMAÇÃO- AUTO DE APREENSÃO-AUTO DE INFRAÇÃO- ANOTAÇÃO NA CADERNETA-ETC...),ESTIPÊNDIO DE LOCOMOÇÃO - SMS,ESTÁGIO PROBATÓRIO,LICENÇA PARA PARTICIPAÇÃO EM EVENTO PARA CAPACITAÇÃO,,,,,,,,,,
ENTREGA DE DOCUMENTOS PARA ANEXAR A PROCESSOS - SANITÁRIO,GRATIFICAÇÃO DE AMBULÂNCIA LC 104/2011,,,,,,,,,,,,
INSPEÇÃO SANITÁRIA/VISTORIA A PEDIDO,GRATIFICAÇÃO DE URGÊNCIA - LC 104/2011,,,,,,,,,,,,
LAUDO DE VISTORIA SANITÁRIA PARA CRECHES E ESCOLAS,GRATIFICAÇÃO GMSC (COMPLEXO HOSPITALAR) - SMS,,,,,,,,,,,,
MUDANÇA DE RESPONSABILIDADE TÉCNICA - BAIXA COMPLEXIDADE - ACADEMIAS DE GINÁSTICA E/OU NATAÇÃO,GRATIFICAÇÃO GTAB - SMS,,,,,,,,,,,,
MUDANÇA DE RESPONSABILIDADE TÉCNICA - BAIXA COMPLEXIDADE - ÓTICAS,GRATIFICAÇÃO IPCE - SAÚDE,,,,,,,,,,,,
MUDANÇA DE RESPONSAB. TÉCNICA - GR ALIMENTOS - COZ. INDUST- INDUSTRIAS ALIM.- BUFFETS- EMPACOTADORA/BENEFIC.DE ALIMENTOS-UNID. ALIMENTOS E NUTRIÇÃO,GRATIFICAÇÃO NASF - SMS,,,,,,,,,,,,
MUDANÇA DE RESPONSABILIDADE TÉCNICA - GRUPO DE PRODUTOS - CONSERVADORAS E DEDETIZADORAS,GRATIFICAÇÃO PSF - SMS,,,,,,,,,,,,
MUDANÇA DE RESPONSABILIDADE TÉCNICA - GRUPO DE PRODUTOS - DISTRIBUIDORAS- IMPORTADORAS E EXPORTADORAS,TETO MÁXIMO INSS,,,,,,,,,,,,
MUDANÇA DE RESPONSABILIDADE TÉCNICA - GRUPO DE PRODUTOS - DROGARIAS,COBRANÇAS DE CRÉDITOS NÃO TRIBUTÁRIOS,,,,,,,,,,,,
MUDANÇA DE RESPONSABILIDADE TÉCNICA - GRUPO DE PRODUTOS - FARMÁCIAS,FUNDO DE GARANTIA DE TEMPO DE SERVIÇO - FGTS,,,,,,,,,,,,
MUDANÇA DE RESPONSABILIDADE TÉCNICA - GRUPO DE PRODUTOS - INDUSTRIAS,RESCISÃO CONTRATUAL,,,,,,,,,,,,
MUDANÇA DE RESPONSABILIDADE TÉCNICA - GRUPO DE PRODUTOS - TRANSPORTADORAS,PISO SALARIAL DA ENFERMAGEM,,,,,,,,,,,,
MUDANÇA DE RESPONSABILIDADE TÉCNICA - GRUPO ESTABELECIMENTOS DE SAÚDE,,,,,,,,,,,,,
PRORROGAÇÃO DE PRAZO PARA CUMPRIMENTO DE EXIGÊNCIAS TÉCNICAS LEGAIS -VIGILÂNCIA SANITÁRIA,,,,,,,,,,,,,
REANÁLISE DE PROJETO ARQUITETÔNICO - VIGILÂNCIA SANITÁRIA,,,,,,,,,,,,,
CERTIFICADO DE VISTORIA DE VEICULOS - PESSOA JURÍDICA,,,,,,,,,,,,,
CERTIFICADO DE VISTORIA DE VEÍCULOS - PESSOA JURÍDICA E AUTÔNOMO,,,,,,,,,,,,,
DESCARTE DE MEDICAMENTOS,,,,,,,,,,,,,
SOLICITAÇÃO DE FISCALIZAÇÃO - VIGILÂNCIA SANITÁRIA  (DENÚNCIA)  ,,,,,,,,,,,,,
PROCESSO ADMINISTRATIVO SANITÁRIO,,,,,,,,,,,,,
ALVARA TÁCITO,,,,,,,,,,,,,
